Code,LeafType,Amax,LDMC,SLA,thickness,LNC
Geipar,Sun leaf,55.2,428,5.26,462.41,15.6
Melunc,Sun leaf,52.4,500,3.69,569.67,15.1
Olepim,Sun leaf,49.4,367,8.76,316.40,25
Phidif,Sun leaf,39,394,3.61,746.29,13.8
Pimmic,Sun leaf,132.7,313,12.53,254.91,30
Senart,Sun leaf,32.4,460,2.54,913.86,18
Senart,Sun leaf,50.2,448,3.51,672.68,15.4
Solfer,Sun leaf,143.4,279,15.03,236.81,42.9
Spapub,Sun leaf,122,433,8.92,259.22,32.9
Acahav,Sun leaf,30.6,502,2.72,778.42,17.4
Acawil,Sun leaf,52.8,571,6.35,277.74,21.7
Bercun,Sun leaf,41.1,460,5.69,394.27,19.5
Beyopa,Sun leaf,36.5,498,6.39,319.91,18.4
Boswal,Sun leaf,28.5,499,2.6,820.54,12.1
Brapop,Sun leaf,50.6,470,6.81,317.92,16
Caslae,Sun leaf,49.6,501,7.22,278.46,19.8
Eredes,Sun leaf,46.4,390,5.05,532.10,16.5
Eregla,Sun leaf,69.3,411,5.85,431.39,17.8
Eucdum,Sun leaf,38.3,563,2.86,656.35,10.2
Eucmic,Sun leaf,92.7,442,9.2,244.98,11.6
Eucsoc,Sun leaf,51.2,531,3.15,630.91,12.9
Melunc,Sun leaf,36.1,440,3.27,737.47,17.8
Olepim,Sun leaf,65.6,446,8.67,258.90,23.1
Phidif,Sun leaf,39.1,401,4.08,645.57,15.2
Sanacu,Sun leaf,20.6,336,2.88,1108.54,10.4
Acaflo,Sun leaf,106.3,399,10.1,247.42,21.6
Dodtri,Sun leaf,209.1,323,10.1,311.45,19.3
Eucpan,Sun leaf,75.3,474,8.6,244.31,11.5
Eucumb,Sun leaf,40.7,459,5.1,443.76,9.9
Lasfer,Sun leaf,76.7,437,9.3,245.13,12.1
Leppol,Sun leaf,112.1,406,12.8,186.32,13.9
Lomsil,Sun leaf,47.1,508,8.3,235.38,7.3
Perlin,Sun leaf,46.9,371,6.5,430.04,8
Pomfer,Sun leaf,93.4,386,12.38,204.78,11.9
Pulfle,Sun leaf,117.7,309,11.59,281.50,16.9
Synglo,Sun leaf,57.4,497,6.33,323.87,9.4
Syngla,Sun leaf,73.5,317,11.62,273.01,16.9
Xylpyr,Sun leaf,63,469,6.02,363.70,8.3
Acasua,Sun leaf,46.6,442,5.1,461.77,20.6
Banmar,Sun leaf,101.9,463,5.02,447.11,9.4
Borled,Sun leaf,54.7,392,6.33,417.24,11.7
Corgum,Sun leaf,58.7,527,4.5,437.71,8.9
Eriaus,Sun leaf,57,338,5.55,559.88,14.3
Euchae,Sun leaf,53.3,472,4.49,492.75,10.6
Gomgla,Sun leaf,42.9,451,5.98,381.91,11.9
Grebux,Sun leaf,59.3,474,7.02,304.86,7.3
Grespe,Sun leaf,50.3,466,5.58,397.03,7.7
Hakdac,Sun leaf,45,546,3.65,525.56,6.4
Hakter,Sun leaf,34.9,338,2.48,1283.53,5.6
Hibbra,Sun leaf,53.9,397,7.84,327.63,9.9
Lamfor,Sun leaf,37.2,500,4.22,495.02,6.3
Leptri,Sun leaf,36.8,485,8.18,251.71,7.9
Phyphy,Sun leaf,50.7,397,6.16,423.72,13.8
Pimlin,Sun leaf,106.3,274,13.48,272.20,13.5
Bradis,Whole plant,327.9,277,32.24,98.09,59.78
Brapho,Whole plant,216.1,250,30.57,118.79,28.7
Broere,Whole plant,181.8,190,29.29,172.35,36.96
Brohor,Whole plant,348,148,40.96,156.20,47.74
Bromad,Whole plant,309.6,154,43.88,137.58,47.18
Brorac,Whole plant,172.1,202,34.86,131.03,30.1
Hormur,Whole plant,458.9,160,42.57,136.30,49.56
Horsec,Whole plant,371.4,183,38.06,132.75,47.18
Lolrig,Whole plant,409.8,148,41.81,152.52,44.8
Poaann,Whole plant,568.1,197,44.25,101.10,57.68
Poapra,Whole plant,390.8,198,40.51,112.02,52.36
Poaalp,Whole plant,335.71,175.6,35.48,151.31,44.85
Poacom,Whole plant,392.85,216.6,44.84,88.21,46.04
Poacos,Whole plant,250,243.9,26.77,143.26,31.6
Poafaw,Whole plant,228.57,243.9,28.06,135.53,30.67
Poapra,Whole plant,346.43,242,31.84,117.62,45.8
Poatri,Whole plant,446.43,197,34.84,135.08,51.19
Antsyl,Whole plant,288.4,163.4,40.2,142.25,61.72
Brapin,Whole plant,304.2,221.2,40.7,97.11,54.25
Brimed,Whole plant,277.3,196.9,35.1,133.97,50.91
Corcan,Whole plant,252.1,271,33.1,97.55,44.46
Cyncri,Whole plant,336.8,171.5,32,175.12,53.27
Dacglo,Whole plant,505.8,144.9,50.2,126.06,60.88
Desfle,Whole plant,234.6,210.5,27.6,164.05,41.49
Fesovi,Whole plant,209.7,259.7,25.3,142.20,50.58
Galpar,Whole plant,508.3,116,55.5,145.63,62.43
Geuurb,Whole plant,270.2,206.2,41.5,103.45,43.55
Hollan,Whole plant,441.3,157.7,43.7,134.43,62.56
Hypper,Whole plant,369.9,177.9,49.5,99.83,53.04
Lolper,Whole plant,435.6,152.7,38.8,160.39,63.65
Lysvul,Whole plant,241.8,137.4,42.2,164.43,40.98
Orivul,Whole plant,278,181.5,40.6,124.12,42.54
Phlpra,Whole plant,408.2,168.6,47.8,111.37,61.63
Pimsax,Whole plant,219.4,183.2,31.2,167.15,56.24
Plamaj,Whole plant,335.8,113.3,32.8,270.39,54.32
Poaann,Whole plant,446.4,161,46.7,121.15,66.64
Rumcri,Whole plant,354,89.9,49.3,222.73,51.56
Scrnod,Whole plant,363.2,151.1,44.3,139.13,62.29
Taroff,Whole plant,342.2,125.9,44.1,172.81,61.93
Trirep,Whole plant,455.4,125.2,40.4,192.10,65.88
Urtdio,Whole plant,380.8,164.5,53.1,100.84,57.3
Plamaj,Whole plant,147.6,111,28.7,319.53,42.302
Plamaj,Whole plant,187.3,83,38.5,318.47,42.162
Vacmyr,Sun leaf,128,297.62,16,205.59,19.68
Vacmyr,Sun leaf,61.573,364.96,,,13.97
Vacmyr,Sun leaf,102.247,336.13,17.5,161.73,19.6
